text,label
"Your account has been suspended. Please verify your login details immediately by clicking here: http://fakebank-login.com",1
"Congratulations! You have won a $1000 gift card. Claim it now at http://claimprize-now.com",1
"Security alert from PayPal: We noticed unusual login activity. Please verify your account.",1
"Your Apple ID is locked. Visit https://appleid-security.net to unlock your account.",1
"Urgent: Update your banking information to avoid account deactivation.",1
"Dear customer, your parcel cannot be delivered until you confirm your address here: http://delivery-confirm.com",1
"Microsoft Support: Your license is expiring. Renew immediately to avoid disruption.",1
"Confirm your account information to continue using our secure online service.",1
"Please update your password to prevent unauthorized access: http://secure-login.net",1
"Dear user, we detected suspicious login attempts. Verify your identity immediately.",1
"Meeting scheduled tomorrow at 10 AM. Please find the agenda attached.",0
"Invoice for your recent purchase is attached. Thank you for your business.",0
"Weekly report: Please review the attached performance summary.",0
"Reminder: Your subscription will renew automatically next month.",0
"Your Amazon order has been shipped. Track your package using your account.",0
"Welcome to our service! Please verify your email to activate your account.",0
"Quarterly update from the HR department. Please fill in the feedback form.",0
"Thank you for your payment. Your invoice is attached.",0
"Your password was changed successfully. If this wasn’t you, contact support.",0
"System maintenance scheduled for Saturday 11 PM - 1 AM. No action needed.",0
